id,name,sequence
cons_1,Neumaticos Delantero,10
cons_2,Neumaticos Trasero,20
cons_3,Pastillas Freno de Disco delantero,30
cons_4,Pastillas Freno de Disco trasero,40
cons_5,Discos de Freno delantero ,50
cons_6,Discos de Freno Trasero,60
cons_7,Pastillas Freno de Zapatas,70
cons_8,Filtro Aceite Motor,80
cons_9,Lts de Aceite Motor,90
cons_10,Filtro Aire,100
cons_11,Filtro Combustible,110
cons_12,Lts de Aceite Caja,120
cons_13,Filtro Aceite Caja,130
cons_14,CableS Bujias,140
cons_15,Bujias,150
cons_16,Bobina Arranque,160
cons_17,Limpiaparabrisa,170
cons_18,Bateria,180
cons_19,Lubricantes y Fluidos,190
cons_20,Fluido Freno,200
cons_21,Filtro Aire de Cabina,210
cons_22,Correa Dentada,220
cons_23,Correa Alternador,230
cons_24,Correa Aire,240
cons_25,Rodillo tensor correa dentada,250
cons_26,Rodillo tensor Correa Alternador,260
cons_27,Fluido Freno,270
cons_28,Agua Radiador,280
cons_29,Foco Alta Delantero,290
cons_30,Foco Baja Delantero,300
cons_31,Foco Trasero,310
cons_32,Fusible,320
